"Czas (s) Seria nr 5";"Napięcie (V) Seria nr 5"
47.400;2.557
47.450;2.553
47.500;2.549
47.550;2.545
47.600;2.541
47.650;2.537
47.700;2.532
47.750;2.527
47.800;2.524
47.850;2.520
47.900;2.515
47.950;2.511
48.000;2.507
48.050;2.503
48.100;2.498
48.150;2.494
48.200;2.490
48.250;2.486
48.300;2.482
48.350;2.479
48.400;2.475
48.450;2.471
48.500;2.466
48.550;2.462
48.600;2.458
48.650;2.453
48.700;2.449
48.750;2.446
48.800;2.442
48.850;2.438
48.900;2.433
48.950;2.429
49.000;2.424
49.050;2.421
49.100;2.417
49.150;2.414
49.200;2.410
49.250;2.405
49.300;2.401
49.350;2.397
49.400;2.392
49.450;2.389
49.500;2.385
49.550;2.382
49.600;2.378
49.650;2.375
49.700;2.370
49.750;2.366
49.800;2.363
49.850;2.358
49.900;2.355
49.950;2.351
50.000;2.347
50.050;2.343
50.100;2.339
50.150;2.334
50.200;2.331
50.250;2.327
50.300;2.323
50.350;2.320
50.400;2.316
50.450;2.312
50.500;2.308
50.550;2.303
50.600;2.300
50.650;2.296
50.700;2.293
50.750;2.291
50.800;2.286
50.850;2.282
50.900;2.278
50.950;2.274
51.000;2.271
51.050;2.267
51.100;2.263
51.150;2.260
51.200;2.256
51.250;2.253
51.300;2.249
51.350;2.245
51.400;2.241
51.450;2.237
51.500;2.234
51.550;2.231
51.600;2.228
51.650;2.224
51.700;2.219
51.750;2.215
51.800;2.211
51.850;2.206
51.900;2.203
51.950;2.199
52.000;2.196
52.050;2.193
52.100;2.188
52.150;2.184
52.200;2.181
52.250;2.177
52.300;2.174
52.350;2.171
52.400;2.167
52.450;2.164
52.500;2.159
52.550;2.156
52.600;2.151
52.650;2.147
52.700;2.144
52.750;2.142
52.800;2.138
52.850;2.135
52.900;2.131
52.950;2.129
53.000;2.125
53.050;2.121
53.100;2.117
53.150;2.114
53.200;2.110
53.250;2.106
53.300;2.102
53.350;2.099
53.400;2.095
53.450;2.092
53.500;2.089
53.550;2.086
53.600;2.081
53.650;2.078
53.700;2.075
53.750;2.072
53.800;2.068
53.850;2.065
53.900;2.061
53.950;2.059
54.000;2.056
54.050;2.052
54.100;2.048
54.150;2.045
54.200;2.041
54.250;2.039
54.300;2.035
54.350;2.032
54.400;2.028
54.450;2.025
54.500;2.021
54.550;2.017
54.600;2.014
54.650;2.011
54.700;2.008
54.750;2.005
54.800;2.002
54.850;1.998
54.900;1.994
54.950;1.991
55.000;1.988
55.050;1.985
55.100;1.981
55.150;1.978
55.200;1.975
55.250;1.972
55.300;1.968
55.350;1.964
55.400;1.962
55.450;1.958
55.500;1.955
55.550;1.953
55.600;1.950
55.650;1.946
55.700;1.942
55.750;1.939
55.800;1.936
55.850;1.933
55.900;1.931
55.950;1.928
56.000;1.924
56.050;1.921
56.100;1.918
56.150;1.914
56.200;1.910
56.250;1.907
56.300;1.904
56.350;1.901
56.400;1.899
56.450;1.895
56.500;1.892
56.550;1.889
56.600;1.886
56.650;1.884
56.700;1.880
56.750;1.877
56.800;1.874
56.850;1.871
56.900;1.868
56.950;1.865
57.000;1.861
57.050;1.860
57.100;1.856
57.150;1.853
57.200;1.850
57.250;1.847
57.300;1.843
57.350;1.839
57.400;1.837
57.450;1.834
57.500;1.831
57.550;1.829
57.600;1.826
57.650;1.822
57.700;1.819
57.750;1.815
57.800;1.813
57.850;1.810
57.900;1.807
57.950;1.805
58.000;1.802
58.050;1.799
58.100;1.797
58.150;1.793
58.200;1.790
58.250;1.787
58.300;1.783
58.350;1.781
58.400;1.778
58.450;1.775
58.500;1.771
58.550;1.769
58.600;1.766
58.650;1.763
58.700;1.760
58.750;1.758
58.800;1.755
58.850;1.752
58.900;1.749
58.950;1.746
59.000;1.744
59.050;1.741
59.100;1.737
59.150;1.735
59.200;1.732
59.250;1.729
59.300;1.726
59.350;1.722
59.400;1.719
59.450;1.716
59.500;1.713
59.550;1.710
59.600;1.708
59.650;1.706
59.700;1.702
59.750;1.698
59.800;1.695
59.850;1.693
59.900;1.690
59.950;1.688
60.000;1.686
60.050;1.683
60.100;1.680
60.150;1.677
60.200;1.673
60.250;1.670
60.300;1.667
60.350;1.664
60.400;1.662
60.450;1.659
60.500;1.656
60.550;1.653
60.600;1.651
60.650;1.648
60.700;1.646
60.750;1.644
60.800;1.641
60.850;1.639
60.900;1.636
60.950;1.633
61.000;1.629
61.050;1.626
61.100;1.624
61.150;1.622
61.200;1.618
61.250;1.617
61.300;1.614
61.350;1.611
61.400;1.608
61.450;1.605
61.500;1.602
61.550;1.600
61.600;1.597
61.650;1.595
61.700;1.593
61.750;1.590
61.800;1.587
61.850;1.586
61.900;1.582
61.950;1.579
62.000;1.577
62.050;1.574
62.100;1.572
62.150;1.569
62.200;1.565
62.250;1.563
62.300;1.561
62.350;1.559
62.400;1.557
62.450;1.554
62.500;1.552
62.550;1.550
62.600;1.546
62.650;1.544
62.700;1.541
62.750;1.538
62.800;1.536
62.850;1.533
62.900;1.530
62.950;1.528
63.000;1.525
63.050;1.523
63.100;1.520
63.150;1.518
63.200;1.516
63.250;1.515
63.300;1.511
63.350;1.508
63.400;1.505
63.450;1.503
63.500;1.501
63.550;1.499
63.600;1.496
63.650;1.494
63.700;1.491
63.750;1.489
63.800;1.486
63.850;1.484
63.900;1.481
63.950;1.479
64.000;1.476
64.050;1.475
64.100;1.472
64.150;1.469
64.200;1.467
64.250;1.464
64.300;1.461
64.350;1.459
64.400;1.457
64.450;1.455
64.500;1.452
64.550;1.449
64.600;1.447
64.650;1.444
64.700;1.443
64.750;1.441
64.800;1.438
