"Czas (s)","Napięcie (V)"
54.350,0.337
54.400,0.336
54.450,0.335
54.500,0.335
54.550,0.334
54.600,0.332
54.650,0.331
54.700,0.330
54.750,0.329
54.800,0.328
54.850,0.327
54.900,0.327
54.950,0.325
55.000,0.324
55.050,0.322
55.100,0.321
55.150,0.319
55.200,0.319
55.250,0.317
55.300,0.317
55.350,0.316
55.400,0.314
55.450,0.313
55.500,0.312
55.550,0.312
55.600,0.311
55.650,0.310
55.700,0.309
55.750,0.308
55.800,0.307
55.850,0.306
55.900,0.305
55.950,0.304
56.000,0.304
56.050,0.303
56.100,0.302
56.150,0.300
56.200,0.299
56.250,0.298
56.300,0.298
56.350,0.297
56.400,0.296
56.450,0.295
56.500,0.294
56.550,0.294
56.600,0.292
56.650,0.290
56.700,0.290
56.750,0.288
56.800,0.288
56.850,0.287
56.900,0.287
56.950,0.285
57.000,0.284
57.050,0.283
57.100,0.283
57.150,0.282
57.200,0.281
57.250,0.281
57.300,0.280
57.350,0.278
57.400,0.277
57.450,0.276
57.500,0.276
57.550,0.275
57.600,0.274
57.650,0.274
57.700,0.272
57.750,0.271
57.800,0.270
57.850,0.269
57.900,0.269
57.950,0.268
58.000,0.267
58.050,0.266
58.100,0.265
58.150,0.263
58.200,0.263
58.250,0.261
58.300,0.261
58.350,0.261
58.400,0.260
58.450,0.258
58.500,0.257
58.550,0.255
58.600,0.254
58.650,0.253
58.700,0.252
58.750,0.252
58.800,0.251
58.850,0.251
58.900,0.250
58.950,0.248
59.000,0.247
59.050,0.247
59.100,0.246
59.150,0.246
59.200,0.245
59.250,0.244
59.300,0.243
59.350,0.242
59.400,0.242
59.450,0.241
59.500,0.241
59.550,0.241
59.600,0.240
59.650,0.238
59.700,0.237
59.750,0.236
59.800,0.235
59.850,0.235
59.900,0.234
59.950,0.233
60.000,0.232
60.050,0.231
60.100,0.230
60.150,0.229
60.200,0.229
60.250,0.228
60.300,0.228
60.350,0.228
60.400,0.226
60.450,0.225
60.500,0.225
60.550,0.224
60.600,0.223
60.650,0.223
60.700,0.222
60.750,0.221
60.800,0.221
60.850,0.220
60.900,0.219
60.950,0.218
61.000,0.218
61.050,0.218
61.100,0.217
61.150,0.216
61.200,0.215
61.250,0.214
61.300,0.213
61.350,0.212
61.400,0.212
61.450,0.212
61.500,0.212
61.550,0.210
61.600,0.210
61.650,0.208
61.700,0.208
61.750,0.207
61.800,0.207
61.850,0.206
61.900,0.205
61.950,0.204
62.000,0.204
62.050,0.203
62.100,0.202
62.150,0.202
62.200,0.201
62.250,0.200
62.300,0.199
62.350,0.199
